model_name,num_reaction,num_species,probability_of_occurrence_strong,probability_of_occurrence_weak
BIOMD0000000224,6,4,1e-05,0.0
BIOMD0000000782,5,2,7e-05,6e-05
BIOMD0000000437,40,61,,
BIOMD0000001059,21,10,,
BIOMD0000000780,12,4,,
BIOMD0000000385,4,6,0.0,0.0
BIOMD0000000632,14,9,,
BIOMD0000000587,23,10,,
BIOMD0000000223,109,86,,
BIOMD0000000157,6,3,1e-05,0.0
BIOMD0000000584,14,35,,
BIOMD0000000744,14,5,,
BIOMD0000000624,5,7,0.0,0.0
BIOMD0000000521,0,4,,
BIOMD0000000087,43,55,,
BIOMD0000000440,10,11,0.0,0.0
BIOMD0000000456,6,11,0.0,0.0
BIOMD0000000913,12,6,,
BIOMD0000001013,4,2,0.00027,0.00033
BIOMD0000000876,9,4,0.0,0.0
BIOMD0000000057,5,6,7e-05,3e-05
BIOMD0000000268,61,44,,
BIOMD0000000652,63,54,,
BIOMD0000000530,17,10,,
BIOMD0000000733,6,3,0.0,0.0
BIOMD0000000848,21,9,,
BIOMD0000000306,8,5,0.0,0.0
BIOMD0000000930,14,4,,
BIOMD0000000475,25,23,,
BIOMD0000000305,4,9,0.0,0.0
BIOMD0000000099,14,7,,
BIOMD0000000853,21,9,,
BIOMD0000000328,29,18,,
BIOMD0000000936,2,1,0.02688,0.02753
BIOMD0000000856,26,26,,
BIOMD0000001021,9,7,0.0,0.0
BIOMD0000000921,13,5,,
BIOMD0000000855,12,4,,
BIOMD0000001047,8,4,0.0,0.0
BIOMD0000000012,12,6,,
BIOMD0000000600,29,18,,
BIOMD0000000206,11,9,,
BIOMD0000000777,8,3,0.0,0.0
BIOMD0000000603,58,29,,
BIOMD0000000203,10,12,0.0,0.0
BIOMD0000000982,2,3,0.0565,0.05813
BIOMD0000000160,41,25,,
BIOMD0000000200,34,22,,
BIOMD0000000759,19,6,,
BIOMD0000000611,62,66,,
