reference_name,target_name,reference_network,induced_network,name_dct,num_assignment_pair,is_truncated,probability_of_occurrence_strong,truncated_strong,probability_of_occurrence_weak,truncated_weak,estimated_poc_strong,estimated_poc_weak
BIOMD0000000006,BIOMD0000000067,"BIOMD0000000006: 4 species, 3 reactions
  Reaction1: EmptySet -> z
  Reaction2: u -> EmptySet
  Reaction3: z -> u","4874881: 4 species, 3 reactions
  V_Pta: AcCoA -> AcP
  V_Acs: OAc -> AcCoA
  V_Ack: AcP -> OAc","{""species_names"": {""EmptySet"": ""AcCoA"", ""u"": ""OAc"", ""z"": ""AcP"", ""v"": ""HOAc""}, ""reaction_names"": {""Reaction1"": ""V_Pta"", ""Reaction2"": ""V_Acs"", ""Reaction3"": ""V_Ack""}}",15,False,,,,,0.0,0.0
BIOMD0000000006,BIOMD0000000715,"BIOMD0000000006: 4 species, 3 reactions
  Reaction1: EmptySet -> z
  Reaction2: u -> EmptySet
  Reaction3: z -> u","6724008: 4 species, 3 reactions
  reaction_3: S -> E
  reaction_2: I -> S
  reaction_5: E -> I","{""species_names"": {""EmptySet"": ""S"", ""u"": ""I"", ""z"": ""E"", ""v"": ""M""}, ""reaction_names"": {""Reaction1"": ""reaction_3"", ""Reaction2"": ""reaction_2"", ""Reaction3"": ""reaction_5""}}",6,False,,,,,0.0,0.0
BIOMD0000000027,BIOMD0000000355,"BIOMD0000000027: 5 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","9926273: 5 species, 4 reactions
  mw1c50c3d1_dab9_423a_8373_6a4c75479b54: mw013a7c64_a9ec_483c_b3b8_ed658337ee95 -> CaI
  JPump: CaI -> CaS
  JChannel: CaS -> CaI
  mwa61047ec_49c1_47b2_b78e_4d84a33d432a: CaI -> mw013a7c64_a9ec_483c_b3b8_ed658337ee95","{""species_names"": {""M"": ""mw013a7c64_a9ec_483c_b3b8_ed658337ee95"", ""Mp"": ""CaI"", ""Mpp"": ""CaS"", ""MAPKK"": ""IP3"", ""MKP3"": ""g""}, ""reaction_names"": {""v1"": ""mw1c50c3d1_dab9_423a_8373_6a4c75479b54"", ""v2"": ""JPump"", ""v3"": ""JChannel"", ""v4"": ""mwa61047ec_49c1_47b2_b78e_4d84a33d432a""}}",60,False,,,,,0.0,0.0
BIOMD0000000027,BIOMD0000000354,"BIOMD0000000027: 5 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","589831: 5 species, 4 reactions
  JChannel: CaS -> CaI
  mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4: CaI -> CaM
  mw69f19152_7258_45b0_bf9e_b196f19d7e03: CaM -> CaI
  JPump: CaI -> CaS","{""species_names"": {""M"": ""CaS"", ""Mp"": ""CaI"", ""Mpp"": ""CaM"", ""MAPKK"": ""IP3"", ""MKP3"": ""g""}, ""reaction_names"": {""v1"": ""JChannel"", ""v2"": ""mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4"", ""v3"": ""mw69f19152_7258_45b0_bf9e_b196f19d7e03"", ""v4"": ""JPump""}}",12,False,,,,,0.0,0.0
BIOMD0000000027,BIOMD0000000170,"BIOMD0000000027: 5 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","2240195: 5 species, 4 reactions
  BMAL1_nuclear_import: y5 -> y6
  BMAL1_activation: y6 -> y7
  BMAL1_deactivation: y7 -> y6
  BMAL1_nuclear_export: y6 -> y5","{""species_names"": {""M"": ""y5"", ""Mp"": ""y6"", ""Mpp"": ""y7"", ""MAPKK"": ""y1"", ""MKP3"": ""y2""}, ""reaction_names"": {""v1"": ""BMAL1_nuclear_import"", ""v2"": ""BMAL1_activation"", ""v3"": ""BMAL1_deactivation"", ""v4"": ""BMAL1_nuclear_export""}}",24,False,,,,,0.0,0.0
BIOMD0000000027,BIOMD0000000228,"BIOMD0000000027: 5 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","8702568: 5 species, 4 reactions
  pRB_phosphorylation: pRB -> pRBp
  pRBp_phosphorylation: pRBp -> pRBpp
  pRBpp_dephosphorylation: pRBpp -> pRBp
  pRBp_dephosphorylation: pRBp -> pRB","{""species_names"": {""M"": ""pRB"", ""Mp"": ""pRBp"", ""Mpp"": ""pRBpp"", ""MAPKK"": ""E2F1"", ""MKP3"": ""CycDi""}, ""reaction_names"": {""v1"": ""pRB_phosphorylation"", ""v2"": ""pRBp_phosphorylation"", ""v3"": ""pRBpp_dephosphorylation"", ""v4"": ""pRBp_dephosphorylation""}}",60,False,,,,,0.0,0.0
BIOMD0000000029,BIOMD0000000704,"BIOMD0000000029: 6 species, 7 reactions
  v1: M -> MpY
  v2: MpY -> Mpp
  v3: M -> MpT
  v4: MpT -> Mpp
  v5: Mpp -> MpT
  v6: MpT -> M
  v7: MpY -> M","8253615: 6 species, 7 reactions
  R7__Cdc25_inactivation: Cdc25_active -> Cdc25_inactive
  R2__Cdc25_Phosphorylation: Cdc25_inactive -> Cdc25Ps216_inactive
  R2_Cdc25_Phosphorylation: Cdc25_active -> Cdc25Ps216_active
  R18__Cdc25Ps216_inactivation: Cdc25Ps216_active -> Cdc25Ps216_inactive
  R18_Cdc25Ps216_activation: Cdc25Ps216_inactive -> Cdc25Ps216_active
  R2__Cdc25_Dephosphorylation: Cdc25Ps216_active -> Cdc25_active
  R7_Cdc25_Activation: Cdc25_inactive -> Cdc25_active","{""species_names"": {""M"": ""Cdc25_active"", ""MpY"": ""Cdc25_inactive"", ""MpT"": ""Cdc25Ps216_active"", ""Mpp"": ""Cdc25Ps216_inactive"", ""MEK"": ""Chk1P"", ""MKP3"": ""protein_14_3_3""}, ""reaction_names"": {""v1"": ""R7__Cdc25_inactivation"", ""v2"": ""R2__Cdc25_Phosphorylation"", ""v3"": ""R2_Cdc25_Phosphorylation"", ""v4"": ""R18__Cdc25Ps216_inactivation"", ""v5"": ""R18_Cdc25Ps216_activation"", ""v6"": ""R2__Cdc25_Dephosphorylation"", ""v7"": ""R7_Cdc25_Activation""}}",156,False,,,,,0.0,0.0
BIOMD0000000031,BIOMD0000000354,"BIOMD0000000031: 6 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","7584988: 6 species, 4 reactions
  JChannel: CaS -> CaI
  mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4: CaI -> CaM
  mw69f19152_7258_45b0_bf9e_b196f19d7e03: CaM -> CaI
  JPump: CaI -> CaS","{""species_names"": {""M"": ""CaS"", ""Mp"": ""CaI"", ""Mpp"": ""CaM"", ""MAPKK1"": ""IP3"", ""MAPKK2"": ""g"", ""MKP3"": ""CaO""}, ""reaction_names"": {""v1"": ""JChannel"", ""v2"": ""mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4"", ""v3"": ""mw69f19152_7258_45b0_bf9e_b196f19d7e03"", ""v4"": ""JPump""}}",12,False,,,,,0.0,0.0
BIOMD0000000031,BIOMD0000000170,"BIOMD0000000031: 6 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","3876193: 6 species, 4 reactions
  BMAL1_nuclear_import: y5 -> y6
  BMAL1_activation: y6 -> y7
  BMAL1_deactivation: y7 -> y6
  BMAL1_nuclear_export: y6 -> y5","{""species_names"": {""M"": ""y5"", ""Mp"": ""y6"", ""Mpp"": ""y7"", ""MAPKK1"": ""y1"", ""MAPKK2"": ""y2"", ""MKP3"": ""y3""}, ""reaction_names"": {""v1"": ""BMAL1_nuclear_import"", ""v2"": ""BMAL1_activation"", ""v3"": ""BMAL1_deactivation"", ""v4"": ""BMAL1_nuclear_export""}}",48,False,,,,,0.0,0.0
BIOMD0000000031,BIOMD0000000228,"BIOMD0000000031: 6 species, 4 reactions
  v1: M -> Mp
  v2: Mp -> Mpp
  v3: Mpp -> Mp
  v4: Mp -> M","4293360: 6 species, 4 reactions
  pRB_phosphorylation: pRB -> pRBp
  pRBp_phosphorylation: pRBp -> pRBpp
  pRBpp_dephosphorylation: pRBpp -> pRBp
  pRBp_dephosphorylation: pRBp -> pRB","{""species_names"": {""M"": ""pRB"", ""Mp"": ""pRBp"", ""Mpp"": ""pRBpp"", ""MAPKK1"": ""E2F1"", ""MAPKK2"": ""CycDi"", ""MKP3"": ""CycDa""}, ""reaction_names"": {""v1"": ""pRB_phosphorylation"", ""v2"": ""pRBp_phosphorylation"", ""v3"": ""pRBpp_dephosphorylation"", ""v4"": ""pRBp_dephosphorylation""}}",240,False,,,,,0.0,0.0
